run_key,label,family,canonical,shot,clean_accuracy,deranged_accuracy,clean_minus_deranged,paired_task_se,task_bootstrap_ci95_low,task_bootstrap_ci95_high
progen2_xlarge,ProGen2 xlarge,progen2,False,16,0.167421875,0.1346875,0.032734375,0.004313086383699179,0.02453125,0.04125
progen2_xlarge,ProGen2 xlarge,progen2,False,32,0.186484375,0.14796875,0.038515625,0.00579045110520209,0.027421875,0.05
progen2_xlarge,ProGen2 xlarge,progen2,False,48,0.20234375,0.151171875,0.051171875,0.004978814759895398,0.04171875,0.061015625
chessgpt,ChessGPT 50M,chessgpt,False,1,0.09234375,0.09234375,0.0,0.0,0.0,0.0
chessgpt,ChessGPT 50M,chessgpt,False,2,0.097578125,0.093046875,0.00453125,0.003937188088896502,-0.003203125,0.012501953124999972
chessgpt,ChessGPT 50M,chessgpt,False,4,0.1159375,0.1146875,0.00125,0.0035563282753097577,-0.005470703124999998,0.0084375
chessgpt,ChessGPT 50M,chessgpt,False,8,0.171796875,0.173359375,-0.0015625,0.004575686630871852,-0.0103125,0.00734375
musicroll,MusicRoll 50M,musicroll,False,2,0.17,0.170546875,-0.000546875,0.0034302016616909606,-0.007265625,0.006015625
musicroll,MusicRoll 50M,musicroll,False,4,0.17875,0.17765625,0.00109375,0.0037261512800398243,-0.006171875,0.008359375
musicroll,MusicRoll 50M,musicroll,False,8,0.178359375,0.17296875,0.005390625,0.00407040648399124,-0.002421875,0.01328125
musicroll,MusicRoll 50M,musicroll,False,16,0.169453125,0.1665625,0.002890625,0.003653696539395225,-0.004140625,0.01
musicroll,MusicRoll 50M,musicroll,False,32,0.173203125,0.1625,0.010703125,0.0038732109725455473,0.00328125,0.0184375
