run_key,label,family,canonical,condition,shot,model,seed,tasks,trials_per_task,total_predictions,mean_accuracy,accuracy_task_cluster_se,mean_edit_distance,edit_distance_task_cluster_se,path
qwen3_0_6b,Qwen3 0.6B,qwen3,False,deranged,8,Qwen/Qwen3-0.6B-Base,763767702,100,128,12800,0.140703125,0.02042071715724946,2.993046875,0.10833253062557728,qwen3_family/qwen3_0_6b/deranged/Qwen3-0.6B-Base_deranged_ic8.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,deranged,16,Qwen/Qwen3-0.6B-Base,330358427,100,128,12800,0.124296875,0.01843468261676965,2.986171875,0.11066935996893427,qwen3_family/qwen3_0_6b/deranged/Qwen3-0.6B-Base_deranged_ic16.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,deranged,32,Qwen/Qwen3-0.6B-Base,204944796,100,128,12800,0.123984375,0.01808542318724073,2.9609375,0.10929566251331058,qwen3_family/qwen3_0_6b/deranged/Qwen3-0.6B-Base_deranged_ic32.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,deranged,64,Qwen/Qwen3-0.6B-Base,579850918,100,128,12800,0.12609375,0.018832356745513232,2.97515625,0.1134754778668022,qwen3_family/qwen3_0_6b/deranged/Qwen3-0.6B-Base_deranged_ic64.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,clean,1,Qwen/Qwen3-1.7B-Base,2021149567,100,128,12800,0.128515625,0.01762191165396422,3.184921875,0.06259256235651332,qwen3_family/qwen3_1_7b/clean/Qwen3-1.7B-Base_ic1.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,clean,2,Qwen/Qwen3-1.7B-Base,1078148732,100,128,12800,0.150390625,0.020523373350242728,2.99109375,0.07910075786393972,qwen3_family/qwen3_1_7b/clean/Qwen3-1.7B-Base_ic2.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,clean,4,Qwen/Qwen3-1.7B-Base,1023954624,100,128,12800,0.156640625,0.021021104271442964,2.81609375,0.09280586645809223,qwen3_family/qwen3_1_7b/clean/Qwen3-1.7B-Base_ic4.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,clean,8,Qwen/Qwen3-1.7B-Base,1034216900,100,128,12800,0.16765625,0.021964558956237785,2.655234375,0.09624498926996788,qwen3_family/qwen3_1_7b/clean/Qwen3-1.7B-Base_ic8.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,clean,16,Qwen/Qwen3-1.7B-Base,22432727,100,128,12800,0.190625,0.024198503878589708,2.51453125,0.10307632598829657,qwen3_family/qwen3_1_7b/clean/Qwen3-1.7B-Base_ic16.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,clean,32,Qwen/Qwen3-1.7B-Base,488850890,100,128,12800,0.211640625,0.026102933375770587,2.382265625,0.10243375416995845,qwen3_family/qwen3_1_7b/clean/Qwen3-1.7B-Base_ic32.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,clean,64,Qwen/Qwen3-1.7B-Base,906902788,100,128,12800,0.247109375,0.029121958894951783,2.144609375,0.10024657980818023,qwen3_family/qwen3_1_7b/clean/Qwen3-1.7B-Base_ic64.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,deranged,1,Qwen/Qwen3-1.7B-Base,2021149567,100,128,12800,0.128515625,0.01762191165396422,3.184921875,0.06259256235651332,qwen3_family/qwen3_1_7b/deranged/Qwen3-1.7B-Base_deranged_ic1.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,deranged,2,Qwen/Qwen3-1.7B-Base,1078148732,100,128,12800,0.147734375,0.020772904488828438,3.051328125,0.0818044721118161,qwen3_family/qwen3_1_7b/deranged/Qwen3-1.7B-Base_deranged_ic2.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,deranged,4,Qwen/Qwen3-1.7B-Base,1023954624,100,128,12800,0.143828125,0.020180373198163116,2.99140625,0.09625279398124024,qwen3_family/qwen3_1_7b/deranged/Qwen3-1.7B-Base_deranged_ic4.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,deranged,8,Qwen/Qwen3-1.7B-Base,1034216900,100,128,12800,0.141484375,0.019727672345391894,2.97109375,0.11268696431920555,qwen3_family/qwen3_1_7b/deranged/Qwen3-1.7B-Base_deranged_ic8.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,deranged,16,Qwen/Qwen3-1.7B-Base,22432727,100,128,12800,0.145390625,0.021467874173006725,2.95015625,0.11296303922235085,qwen3_family/qwen3_1_7b/deranged/Qwen3-1.7B-Base_deranged_ic16.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,deranged,32,Qwen/Qwen3-1.7B-Base,488850890,100,128,12800,0.151171875,0.02236949401414135,2.97,0.1200038120678965,qwen3_family/qwen3_1_7b/deranged/Qwen3-1.7B-Base_deranged_ic32.json
qwen3_1_7b,Qwen3 1.7B,qwen3,False,deranged,64,Qwen/Qwen3-1.7B-Base,906902788,100,128,12800,0.155,0.023198678014407663,2.947265625,0.1198572353799657,qwen3_family/qwen3_1_7b/deranged/Qwen3-1.7B-Base_deranged_ic64.json
qwen3_4b,Qwen3 4B,qwen3,False,clean,1,Qwen/Qwen3-4B-Base,1367458356,100,128,12800,0.136484375,0.01900359044887849,3.2228125,0.06522531153014562,qwen3_family/qwen3_4b/clean/Qwen3-4B-Base_ic1.json
qwen3_4b,Qwen3 4B,qwen3,False,clean,2,Qwen/Qwen3-4B-Base,968855281,100,128,12800,0.149453125,0.02057655888117897,3.02109375,0.08123364643357192,qwen3_family/qwen3_4b/clean/Qwen3-4B-Base_ic2.json
qwen3_4b,Qwen3 4B,qwen3,False,clean,4,Qwen/Qwen3-4B-Base,746107280,100,128,12800,0.167421875,0.021704459852158457,2.774296875,0.09720104735784144,qwen3_family/qwen3_4b/clean/Qwen3-4B-Base_ic4.json
